"Skill ID";Profession;Elite;Name;Description;Type;"Type Code";Chapter;Attribute;"Attribute Code";Sacrifice;Exhaustion;"Energy regen";Energy;Adrenaline;Casting;Recharge
3556;"No profession";0;"Derviche du Mysticisme";"Pendant 20 minutes, votre caractéristique de Mysticisme est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
3557;"No profession";0;"Derviche du Vent";"Pendant 20 minutes, votre caractéristique de Prières du Vent est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
2167;"No profession";0;"Diamondshard Mist";"Spell. The Remnant of Antiquities begins freezing the condensation within the air, focusing it into crystal shards.";Spell;sp;"Eye of the North";;;;;;5;;0.75;5
3559;"No profession";0;"Disciple de l'air";"Pendant 20 minutes, votre caractéristique de Magie de l'air est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
3558;"No profession";0;"Disciple de l'Energie";"Pendant 20 minutes, votre caractéristique de Conservation d'énergie est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
3560;"No profession";0;"Disciple de la glace";"Pendant 20 minutes, votre caractéristique de Magie de l'eau est augmenté de 1 point.";Bénédiction;be;Factions;;;;;;;;;
1138;"No profession";0;"Disciple de la terre";"Pendant 20 minutes, votre caractéristique de Magie de la Terre est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
1125;"No profession";0;"Disciple du feu";"Pendant 20 minutes, votre caractéristique de Magie du feu est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
1923;"No profession";0;"Distracting Lunge";"Skill. All of target rollerbeetle's skills are disabled for 5 seconds.";Skill;sk;Core;;;;;;;;;
3561;"No profession";0;"Domaine de la lenteur";"Dans cette zone, vos déplacements sont ralentis.";"Effet de l'environnement";env;Prophecies;;;;;;;;;
3562;"No profession";0;"Domaine du drain d'énergie";"Dans cette zone, vous subissez de la dégénération d'énergie.";"Effet de l'environnement";env;Prophecies;;;;;;;;;
3563;"No profession";0;"Domaine du drain de vie";"Dans cette zone, vous subissez de la dégénération de santé.";"Effet de l'environnement";env;Prophecies;;;;;;;;;
2497;"No profession";0;"Dormant Husk";"Skill. This plant has 40 damage reduction and +20 Health regeneration while dormant but cannot attack or use other skills.";Skill;sk;"Eye of the North";;;;;;5;;;9999
3564;"No profession";0;"Douce décharge";"Pendant 3...5...10 minutes, vous vous déplacez 25% plus vite.";Effect;ef;Core;;;;;;;;;
3565;"No profession";0;"Douleur abominable";"Les joueurs subissent 20 points de dégâts lorsqu'ils activent une compétence.";"Effet de l'environnement";env;Nightfall;;;;;;;;;
2218;"No profession";0;"Drunken Master";"Stance. For 72..90 seconds, your movement and attack speeds are increased by 10..15%. If you are drunk while activating this Skill, your movement and attack speeds are increased by 25..33% instead.";Stance;st;"Eye of the North";"Deldrimor rank";del;;;;5;;1;60
2527;"No profession";0;"Duncan's Defense";"Whenever Duncan the Black takes damage, Duncan's Defense deals 100% of the damage back to the source.";Skill;sk;"Eye of the North";;;;;;;;;
2423;"No profession";0;"Dwarven Stability";"Enchantment Spell. For 24..30 seconds, your Stances last 55..100% longer. If you activated this Skill while drunk, you cannot be knocked down.";"Enchantment Spell";en;"Eye of the North";"Deldrimor rank";del;;;;5;;0.25;30
2213;"No profession";0;"Ear Bite";"Skill. Target touched foe takes 50..70 piercing damage and begins Bleeding for 15..25 seconds.";Skill;sk;"Eye of the North";"Deldrimor rank";del;;;;;4;0.75;
1705;"No profession";0;"Earth Shattering Blow";"Attack. All foes in the area of target take 100 blunt damage and are knocked down. Surrounding foes take 80 earth damage.";Attack;at;Nightfall;;;;;;;;;
1461;"No profession";0;"Earth Vortex";"Attack. For 30 seconds, all foes in this area are struck for 15 earth damage every second. Any foe using a skill when struck is knocked down.";Attack;at;Nightfall;;;;;;;8;;30
3503;"No profession";0;"Eastern Health Shrine Bonus";"Spell. Your party members' maximum Health is increased by 120.";"Effet de l'environnement";env;Factions;;;;;;;;;
1280;"No profession";0;"Eau bénie";"La durée des enchantements est augmentée de 20%.";"Effet de l'environnement";env;Core;;;;;;;;;
1287;"No profession";0;"Eau du Lagon d'Haiju";"Lorsque vous êtes dans l'Eau du Lagon d'Haiju, vous bénéficiez de 25 points de vie chaque fois que vous utilisez une compétence.";"Effet de l'environnement";env;Factions;;;;;;;;;
3568;"No profession";0;"Eau marécageuse";"Vous perdez des points de vie lorsque vous êtes dans l'eau marécageuse.";"Effet de l'environnement";env;Prophecies;;;;;;;;;
2231;"No profession";0;"Ebon Battle Standard of Courage";"Ward Spell. You plant an Ebon Battle Standard of Courage at your current location. For 14...20 seconds, non-Spirit allies in this area gain +24 armor and an additional +24 armor against Charr.";"Ward Spell";wa;"Eye of the North";"Ebon Vanguard rank";ebo;;;;10;;1;20
2233;"No profession";0;"Ebon Battle Standard of Honor";"Ward Spell. You plant an Ebon Battle Standard of Honor at your current location. For 14...20 seconds, non-Spirit allies in this area strike for +8...15 damage and an additional +7...10 vs. Charr.";"Ward Spell";wa;"Eye of the North";"Ebon Vanguard rank";ebo;;;;10;;1;20
2232;"No profession";0;"Ebon Battle Standard of Wisdom";"Ward Spell. You plant an Ebon Battle Standard of Wisdom at your current location. For 14..20 seconds, non-Spirit allies in this area have a 44..60% chance to halve skill recharge of spells they cast.";"Ward Spell";wa;"Eye of the North";"Ebon Vanguard rank";ebo;;;;10;;1;20
2420;"No profession";0;"Ebon Escape";"Spell. Shadow Step to target other ally. You and that other ally are healed for 70..110 health.";Spell;sp;"Eye of the North";"Ebon Vanguard rank";ebo;;;;5;;0.25;10
2235;"No profession";0;"Ebon Vanguard Assassin Support";"Spell. Summon a level 14..20 Ebon Vanguard Assassin that has Iron Palm, Fox Fangs and Nine Tail Strike. This summoned Assassin Shadow Steps to target foe. If that foe is a Charr, the Assassin lives for 24..30 seconds. If target foe is not a Charr, the Assassin lives for 12..15 seconds.";Spell;sp;"Eye of the North";"Ebon Vanguard rank";ebo;;;;10;;1;30
2234;"No profession";0;"Ebon Vanguard Sniper Support";"Spell. Target foe is struck for 54..90 piercing damage and begins Bleeding for 540..900 seconds. This attack has a 10% chance of doing an additional +5..25 piercing damage. If this attack hits a Charr it has a 25% chance of doing an additional +.. piercing damage.";Spell;sp;"Eye of the North";"Ebon Vanguard rank";ebo;;;;10;;1;15
2372;"No profession";0;Edification;"Title. You have +5..15 maximum Energy in Asura territory.";"Title effect";te;"Eye of the North";"Asura rank";asu;;;;;;;
1103;"No profession";0;"Effondrement de cathédrale";"Lorsque vous êtes dans la zone, vous subissez 35 points de dégâts et vous êtes interrompu par les morceaux de gravats qui tombent.";"Effet de l'environnement";env;Factions;;;;;;;;;
1447;"No profession";0;"Ehzah from Above";"Skill. Target touched foe is knocked down for 3 seconds and suffers from a Deep Wound for 10 seconds.";Skill;sk;"Eye of the North";;;;;;;1;2;30
1446;"No profession";0;"Elixir de force";"Vous ne vous sentez pas plus fort...";Effect;ef;Nightfall;;;;;;;;;
0;"No profession";0;Empty;"Cette icône représente une case vide de la barre de compétence.";Empty;em;Core;;;;;;;;;
1458;"No profession";0;"Enchantment Collapse";"Hex Spell. Each time target foe loses an enchantment, that foe loses all enchantments.";"Hex Spell";he;Nightfall;;;;;;5;;1;20
1889;"No profession";0;"Energie de répression";"Chaque fois que vous utilisez une compétence ou attaquez, vous perdez 2 points d'énergie.";"Effet de l'environnement";env;Nightfall;;;;;;;;;
1893;"No profession";0;Enraged;"Skill. Attacks and skills do +50% damage if this creature's Health is below 70%, and an additional +50% damage if its Health is below 30%.";Skill;sk;Nightfall;;;;;;;;;10
