"Skill Text";"Skill ID"
kneecutter;2010
purestrike;328
quiveringblade;892
savageslash;390
seekingblade;386
severartery;382
standingslash;996
steelfangslash;1702
sunandmoonslash;851
charge;364
noneshallpass;891
retreat;839
shieldsup;367
watchyourself;348
auspiciousparry;1142
balancedstance;371
bonettisdefense;380
deadlyriposte;388
defensivestance;345
deflectarrows;373
desperationblow;323
disciplinedstance;376
drunkenblow;1133
gladiatorsdefense;372
healingsignet;1
protectorsdefense;810
riposte;387
shieldstance;378
shove;1146
soldiersdefense;1699
soldiersspeed;2196
soldiersstance;1698
soldiersstrike;1695
steadystance;1701
thrillofvictory;324
warystance;377
imeanttodothat;2067
youwilldie;1141
battlerage;317
berserkerstance;370
bodyblow;2197
bullscharge;379
bullsstrike;332
burstofaggression;1413
chargingstrike;1405
counterattack;1693
defypain;318
disarm;2066
dolyaksignet;361
dwarvenbattlestance;375
endurepain;347
enragingcharge;1414
flail;1404
flourish;389
griffonssweep;327
headbutt;1406
leviathanssweep;1134
lionscomfort;1407
magehunterstrike;1694
powerattack;322
primalrage;831
protectorsstrike;326
rageofthentouka;1408
rush;319
shieldbash;363
signetofstamina;1411
signetofstrength;944
sprint;349
tigerstance;995
warriorscunning;362
warriorsendurance;374
antidotesignet;427
calledshot;403
celestialstance;1207
dualshot;396
magebaneshot;1726
neverrampagealone;2108
quickshot;397
stormsembrace;1474
tripleshot;1953
bestialfury;1209
bestialmauling;1203
bestialpounce;437
brutalstrike;444
callofhaste;415
callofprotection;412
charmanimal;411
comfortanimal;436
companionship;2141
disruptinglunge;445
edgeofextinction;464
energizingwind;474
enragedlunge;1202
feralaggression;2142
ferallunge;439
ferociousstrike;442
fertileseason;467
healasone;1195
heketsrampage;1728
lacerate;961
maimingstrike;438
melandrusassault;441
otyughscry;447
poisonousbite;1205
pounce;1206
predatorspounce;443
predatorybond;1194
predatoryseason;470
primalechoes;469
rampageasone;1721
reviveanimal;422
runasone;811
savagepounce;1201
scavengerstrike;440
strikeasone;1468
symbiosis;468
symbioticbond;423
tigersfury;454
toxicity;1472
vipersnest;1211
arcingshot;1467
barrage;395
bodyshot;2198
broadheadarrow;1198
burningarrow;1466
concussionshot;408
cripplingshot;393
crossfire;1469
debilitatingshot;406
determinedshot;402
disruptingaccuracy;1723
disruptingshot;2143
favorablewinds;472
focusedshot;909
forkedarrow;1722
huntersshot;391
keenarrow;1720
maraudersshot;908
melandrusshot;853
needlingshot;1197
penetratingattack;398
pindown;392
powershot;394
precisionshot;400
preparedshot;1465
punishingshot;409
rapidfire;2068
readthewind;432
savageshot;426
screamingshot;1719
seekingarrows;893
slothhuntersshot;2069
splintershot;852
sunderingattack;1191
volley;2144
applypoison;435
barbedarrows;1470
barbedtrap;458
brambles;947
chokinggas;434
conflagration;466
drydersdefenses;452
dusttrap;457
equinox;1212
famine;997
flametrap;459
frozensoil;471
greaterconflagration;465
healingspring;460
ignitearrows;431
incendiaryarrows;428
kindlearrows;433
melandrusarrows;429
melandrusresilience;451
muddyterrain;477
naturalstride;1727
naturesrenewal;476
pestilence;870
piercingtrap;2140
poisonarrow;404
poisontipsignet;2199
quickeningzephyr;475
quicksand;1473
roaringwinds;1725
scavengersfocus;1471
serpentsquickness;456
smoketrap;1729
snare;854
spiketrap;461
stormchaser;455
tranquility;1213
tripwire;1476
trollunguent;446
winnowing;463
winter;462
archerssignet;1200
distractingshot;399
dodge;425
escape;448
expertfocus;2145
expertsdexterity;1724
glassarrows;1199
infuriatingheat;1730
lightningreflexes;453
marksmanswager;430
oathshot;405
pointblankshot;407
practicedstance;449
throwdirt;424
trappersfocus;946
trappersspeed;1475
whirlingdefense;450
zojunshaste;1196
zojunsshot;1192
empathicremoval;1126
essencebond;250
holyveil;309
lightofdwayna;304
martyr;298
purgeconditions;278
purgesignet;295
removehex;301
resurrect;305
seedoflife;2105
selflessspirit;1952
signetofremoval;1690
starshine;1124
succor;308
vengeance;315
curehex;2003
dwaynaskiss;283
dwaynassorrow;838
ethereallight;959
giftofhealth;1121
glimmeroflight;1686
healarea;280
healother;286
healparty;287
healerscovenant;1394
healingbreeze;288
healingburst;1118
healinghands;285
healinglight;867
healingribbon;2062
healingring;1262
healingseed;274
healingtouch;313
healingwhisper;958
infusehealth;292
jameisgaze;1120
kareishealingcircle;1119
lightofdeliverance;1397
livevicariously;291
mending;290
orisonofhealing;281
patientspirit;2061
renewlife;1263
restfulbreeze;886
restorelife;314
resurrectionchant;1128
signetofrejuvenation;887
spotlessmind;2064
spotlesssoul;2065
supportivespirit;1391
vigorousspirit;254
wordofhealing;282
wordsofcomfort;1396
aegis;257
airofenchantment;1115
amity;265
auraoffaith;260
auraofstability;2063
converthexes;303
dismisscondition;1691
diverthexes;1692
drawconditions;311
extinguish;943
guardian;258
lifeattunement;244
lifebarrier;270
lifebond;241
lifesheath;1123
markofprotection;269
mendailment;277
mendcondition;275
mendingtouch;1401
pacifism;264
pensiveguardian;1683
protectivebond;263
protectivespirit;245
purifyingveil;2007
rebirth;306
restorecondition;276
reversaloffortune;307
reversehex;848
shieldguardian;885
shieldofabsorption;1399
shieldofdeflection;259
shieldofregeneration;261
shieldinghands;299
spiritbond;1114
vitalblessing;289
zealousbenediction;1687
balthazarsaura;272
balthazarspendulum;1395
balthazarsspirit;242
banesignet;296
banish;252
castigationsignet;2006
defenderszeal;1688
holystrike;312
holywrath;249
judgesinsight;267
judgesintervention;1390
kirinswrath;1113
rayofjudgment;830
retribution;248
reversalofdamage;1400
scourgeenchantment;1398
scourgehealing;251
scourgesacrifice;253
shieldofjudgment;262
signetofjudgment;294
signetofmysticwrath;1689
signetofrage;1269
smite;240
smitecondition;2004
smitehex;302
spearoflight;1130
stonesoulstrike;1131
strengthofhonor;243
symbolofwrath;247
wordofcensure;1129
zealotsfire;271
blessedaura;256
blessedlight;941
blessedsignet;297
boonsignet;847
contemplationofpurity;300
denyhexes;991
divineboon;284
divinehealing;279
divineintervention;246
divinespirit;310
healersboon;1393
heavensdelight;1117
holyhaste;1685
peaceandharmony;266
releaseenchantments;960
scribesinsight;1684
signetofdevotion;293
smitersboon;2005
spellbreaker;273
spellshield;957
unyieldingaura;268
watchfulhealing;1392
watchfulspirit;255
withdrawhexes;942
gazeofcontempt;766
grenthsbalance;86
necrosis;2103
signetofcorruption;1950
starservant;1072
awakentheblood;111
barbedsignet;131
bloodbond;835
blooddrinker;1076
bloodispower;119
bloodoftheaggressor;902
bloodrenewal;115
bloodritual;157
cultistsfervor;806
darkbond;138
darkfury;147
darkpact;133
demonicflesh;130
jaundicedgaze;763
lifesiphon;109
lifetransfer;126
lifebanestrike;1067
markoffury;1360
markofsubversion;127
offeringofblood;146
oppressivegaze;864
orderofpain;134
orderofthevampire;148
ravenousgaze;862
shadowstrike;102
signetofagony;145
signetofsuffering;1364
soulleech;128
spoilvictor;1066
stripenchantment;143
touchofagony;158
unholyfeast;110
vampiricbite;1077
vampiricgaze;153
vampiricspirit;819
vampiricswarm;1075
vampirictouch;156
wallowsbite;1078
wellofblood;92
wellofpower;91
atrophy;2237
barbs;101
cacophony;1998
chilblains;144
corruptenchantment;1362
defiledefenses;2188
defileenchantments;1070
defileflesh;129
depravity;820
desecrateenchantments;112
enfeeble;117
enfeeblingblood;118
enfeeblingtouch;1079
envenomenchantments;936
faintheartedness;135
feastofcorruption;151
insidiousparasite;123
lingeringcurse;142
malaise;140
markofpain;150
meekness;1260
orderofapostasy;863
painofdisenchantment;1359
parasiticbond;99
plaguesending;149
plaguesignet;132
plaguetouch;154
poisonedheart;840
priceoffailure;103
recklesshaste;834
rendenchantments;141
rigormortis;137
ripenchantment;955
shadowoffear;136
shiversofdread;1071
soulbarbs;100
soulbind;901
spinalshivers;124
spitefulspirit;121
suffering;108
ulcerouslungs;1358
vocalminority;883
weakenarmor;159
weakenknees;822
wellofdarkness;1366
wellofruin;2236
wellofsilence;1660
wellofweariness;818
wither;125
animatebonefiend;84
animatebonehorror;83
animateboneminions;85
animatefleshgolem;832
animateshamblinghorror;1351
animatevampirichorror;805
auraofthelich;114
bitterchill;1068
bloodofthemaster;120
consumecorpse;98
contagion;1356
darkaura;116
deathnova;104
deathlychill;89
deathlyswarm;105
discord;817
feastforthedead;1354
fetidground;841
infusecondition;139
jaggedbones;1355
malignintervention;122
necrotictraversal;97
orderofundeath;1352
putridbile;2058
putridexplosion;95
putridflesh;1353
risingbile;935
rottingflesh;106
soulfeast;96
taintedflesh;113
tasteofdeath;152
tasteofpain;1069
toxicchill;1659
veratasaura;88
veratasgaze;87
veratassacrifice;90
vilemiasma;828
viletouch;155
virulence;107
wellofsuffering;93
welloftheprofane;94
witheringaura;1997
angorodonsgaze;2189
foulfeast;2057
hexersvigor;2138
icyveins;821
masochism;2139
reapersmark;808
signetoflostsouls;1365
signetofsorrow;1363
wailofdoom;764
arcaneecho;75
arcanemimicry;65
celestialhaste;1060
cryofpain;2102
echo;74
epidemic;78
ethernightmare;1949
expelhexes;954
hypochondria;1334
lyssasbalance;877
shatterstorm;933
signetofdisenchantment;882
signetofmidnight;58
webofdisruption;1344
aneurysm;2055
arcanelarceny;1062
arcanethievery;81
backfire;28
blackout;29
chaosstorm;77
complicate;932
cryoffrustration;57
diversion;30
empathy;26
enchantersconundrum;1345
energyburn;42
energysurge;39
guilt;46
hexbreaker;10
hexeatervortex;1348
ignorance;35
mindwrack;49
mirrorofdisenchantment;1349
mistrust;979
overload;898
panic;52
powerblock;5
powerflux;953
powerleak;24
powerlock;1994
powerspike;23
priceofpride;1655
psychicdistraction;1053
shame;51
shatterdelusions;27
shatterenchantment;69
shatterhex;67
signetofdisruption;860
signetofdistraction;1992
signetofweariness;59
simplethievery;1350
spiritualpain;1336
unnaturalsignet;934
visionsofregret;878
wastrelsdemise;1335
wastrelsworry;50
accumulatedpain;1052
airofdisenchantment;1656
ancestorsvisage;1054
arcaneconundrum;36
calculatedrisk;2053
clumsiness;43
confusingimages;2137
conjurenightmare;859
conjurephantasm;31
cripplinganguish;54
distortion;11
etherealburden;45
fevereddreams;55
fragility;19
frustration;1341
illusionofhaste;37
illusionofpain;879
illusionofweakness;32
illusionaryweaponry;33
imagesofremorse;899
imaginedburden;76
ineptitude;47
kitahsburden;1056
migraine;53
phantompain;44
recurringinsecurity;1055
sharedburden;900
shrinkingarmor;2054
signetofclumsiness;1657
signetofillusions;1346
soothingimages;56
sumofallfears;1996
sympatheticvisage;34
wanderingeye;2056
auspiciousincantation;930
channeling;38
dischargeenchantment;1347
draindelusions;1337
drainenchantment;68
elementalresistance;72
energydrain;79
energytap;80
etherfeast;40
etherlord;41
etherphantom;1343
ethersignet;881
extendconditions;1333
feedback;1061
hexeatersignet;1059
inspiredenchantment;21
inspiredhex;22
leechsignet;61
lyssasaura;813
mantraofconcentration;16
mantraofearth;6
mantraofflame;7
mantraoffrost;8
mantraofinscriptions;15
mantraoflightning;9
mantraofpersistence;14
mantraofrecall;82
mantraofresolve;17
mantraofsignets;18
physicalresistance;73
powerdrain;25
powerleech;803
revealedenchantment;1048
revealedhex;1049
signetofhumility;62
signetofrecall;1993
spiritoffailure;48
spiritshackles;66
tease;1342
wastenotwantnot;1995
arcanelanguor;804
keystonesignet;63
mantraofrecovery;13
persistenceofmemory;1338
powerreturn;931
psychicinstability;1057
stolenspeed;880
symboliccelerity;1340
symbolicposture;1658
symbolsofinspiration;1339
celestialstorm;1100
elementallord;1951
glyphofconcentration;201
glyphofelementalpower;198
glyphofessence;1096
glyphofrenewal;203
glyphofsacrifice;202
intensity;2104
secondwind;1088
airattunement;225
arclightning;842
blindingflash;220
blindingsurge;1367
chainlightning;223
chillingwinds;1368
conjurelightning;221
enervatingcharge;224
gale;162
glimmeringmark;227
glyphofswiftness;2002
gust;843
invokelightning;1664
lightningbolt;1369
lightninghammer;865
lightningjavelin;230
lightningorb;229
lightningstrike;222
lightningsurge;205
lightningtouch;232
mindshock;226
ridethelightning;836
shellshock;2059
shock;231
shockarrow;1082
stormdjinnshaste;1370
teinaiswind;1081
thunderclap;228
whirlwind;163
windbornespeed;160
aftershock;174
armorofearth;165
ashblast;1085
churningearth;844
crystalwave;217
dragonsstomp;1086
earthattunement;169
earthenshackles;2000
earthquake;170
ebonhawk;1374
eruption;167
glowstone;1661
graspingearth;173
ironmist;216
kineticarmor;166
magneticaura;168
magneticsurge;2190
obsidianflame;219
obsidianflesh;218
sandstorm;1372
shockwave;937
sliverarmor;1084
stonedaggers;172
stonesheath;1373
stonestriker;1371
stonefleshaura;1375
stoning;171
teinaiscrystals;1099
unsteadyground;1083
wardagainstelements;175
wardagainstfoes;177
wardagainstmelee;176
wardofstability;938
wardofweakness;2001
bedofcoals;825
breathoffire;1094
burningspeed;823
conjureflame;182
doubledragon;1091
elementalflame;1663
fireattunement;184
firestorm;197
fireball;186
flameburst;188
flamedjinnshaste;1381
flare;194
glowinggaze;1379
glyphofimmolation;2060
immolate;191
incendiarybonds;179
inferno;183
lavaarrows;824
lavafont;195
liquidflame;845
markofrodgort;190
meteor;187
meteorshower;192
mindblast;1662
mindburn;185
phoenix;193
rodgortsinvocation;189
savannahheat;1380
searingflames;884
searingheat;196
smolderingembers;1090
starburst;1095
teinaisheat;1093
armoroffrost;206
armorofmist;238
blurredvision;235
conjurefrost;207
deepfreeze;234
freezinggust;1382
frigidarmor;1261
frozenburst;212
glowingice;2192
iceprison;210
icespear;214
icespikes;211
icyprism;903
icyshackles;939
maelstrom;215
mindfreeze;209
mirrorofice;1098
mistform;236
rust;204
shardstorm;213
shatterstone;809
slipperyground;2191
steam;846
swirlingaura;233
teinaisprison;1097
vaporblade;866
wardagainstharm;239
waterattunement;208
watertrident;237
wintersembrace;1999
auraofrestoration;180
elementalattunement;164
energyblast;2193
energyboon;837
etherprism;1377
etherprodigy;178
etherrenewal;181
glyphofenergy;199
glyphoflesserenergy;200
glyphofrestoration;1376
masterofmagic;1378
auraofdisplacement;771
criticalagility;2101
dash;1043
markofinstability;978
recall;925
shadowmeld;1654
shadowsanctuary;1948
shadowwalk;1650
signetofmalice;1036
signetoftwilight;1648
spiritwalk;1040
starstrike;1039
swap;1653
wastrelscollapse;1644
blackmantisthrust;1024
blackspiderstrike;1636
bladesofsteel;1020
deathblossom;775
desperatestrike;948
disruptingstab;1025
exhaustingassault;975
fallinglotusstrike;1990
fallingspider;778
flashingblades;1042
foxfangs;780
foxspromise;1640
goldenfangstrike;1988
goldenfoxstrike;1637
goldenlotusstrike;1026
goldenphoenixstrike;989
goldenskullstrike;1635
hornsoftheox;777
jaggedstrike;782
junglestrike;1021
leapingmantissting;1023
lotusstrike;1987
moebiusstrike;781
ninetailstrike;986
repeatingstrike;976
templestrike;988
tramplingox;2135
wildstrike;1022
assassinspromise;1035
auguryofdeath;1646
cripplingdagger;1038
dancingdaggers;858
darkprison;1044
deadlyparadox;572
disruptingdagger;571
enduringtoxin;800
entanglingasp;784
exposedefenses;802
expungeenchantments;990
impale;1033
ironpalm;786
liftenchantment;1645
mantistouch;974
markofdeath;785
markofinsecurity;570
sadistssignet;1991
scorpionwire;815
shadowfang;2052
shadowprison;1652
shamefulfear;927
shroudofsilence;801
signetofdeadlycorruption;2186
signetofshadows;876
signetoftoxicshock;1647
siphonspeed;951
siphonstrength;827
vampiricassault;1986
wayoftheemptypalm;987
beguilinghaze;799
blindingpowder;973
caltrops;985
darkescape;1037
deathscharge;952
deathsretreat;1651
feignedneutrality;1641
heartofshadow;1032
hiddencaltrops;1642
mirroredstance;816
return;770
shadowform;826
shadowofhaste;929
shadowrefuge;814
shadowshroud;928
shadowyburden;950
shroudofdistress;1031
smokepowderdefense;2136
unseenfury;1041
vipersdefense;769
wayofperfection;1028
wayofthefox;949
wayofthelotus;977
assassinsremedy;1639
assaultenchantments;1643
blacklotusstrike;779
criticaldefenses;1027
criticaleye;1018
criticalstrike;1019
darkapostasy;1029
deadlyhaste;1638
locustsfury;1030
maliciousstrike;1633
palmstrike;1045
seepingwound;1034
sharpendaggers;926
shatteringassault;1634
twistingfangs;776
unsuspectingstrike;783
wayoftheassassin;1649
wayofthemaster;2187
drawspirit;1224
summonspirits;2051
vampirism;2110
agony;2205
ancestorsrage;1246
bloodsong;1253
caretakerscharge;1744
channeledstrike;1225
clamorofsouls;1215
cruelwasdaoshen;1218
destruction;920
destructivewasglaive;1732
essencestrike;1227
gazefrombeyond;1245
gazeoffury;1734
graspingwaskuurong;789
lamentation;916
nightmareweapon;795
offeringofspirit;1479
painfulbond;1237
purewasliming;2072
rejuvenation;2204
renewingsurge;1478
signetofspirits;1239
spiritboonstrike;1226
spiritburn;919
spiritrift;910
spiritsiphon;1228
splinterweapon;792
wailingweapon;794
warmongersweapon;1751
weaponofaggression;2073
weaponoffury;1749
wieldersstrike;1733
anguish;1745
anguishedwaslingwah;1223
armorofunfeeling;1232
bindingchains;1236
brutalweapon;1258
disenchantment;923
displacement;1249
dissonance;921
dulledweapon;1235
earthbind;1252
ghostlyweapon;2206
guidedweapon;1259
mightywasvorizun;773
pain;1247
restoration;963
shadowsong;871
shelter;982
signetofghostlymight;1742
soothing;1266
sunderingweapon;2148
union;911
vitalweapon;1267
wanderlust;1255
weaponofquickening;1268
blindwasmingson;788
deathpactsignet;1481
defiantwasxinrae;812
fleshofmyflesh;791
generouswastsungrai;772
ghostmirrorlight;1741
life;1251
livelywasnaomei;1222
mendbodyandsoul;1234
mendinggrip;2202
preservation;1250
protectivewaskaolai;1219
recovery;1748
recuperation;981
resilientwasxiko;1221
resilientweapon;787
soothingmemories;1233
spiritlight;915
spiritlightweapon;1257
spirittransfer;962
spiritleechaura;2203
tranquilwastanasen;913
vengefulwaskhanhei;790
vengefulweapon;964
vocalwassogolon;1731
weaponofremedy;1752
weaponofshadow;983
weaponofwarding;793
wieldersboon;1265
xinraesweapon;1750
attunedwassongkai;1220
boonofcreation;1230
consumesoul;914
doom;1264
empowerment;1747
energeticwasleesa;2016
explosivegrowth;1229
feastofsouls;980
ghostlyhaste;1244
reclaimessence;1482
renewingmemories;1739
rituallord;1217
rupturesoul;917
sightbeyondsight;1738
signetofbinding;1743
signetofcreation;1238
soultwisting;1240
spiritchanneling;1231
spirittoflesh;918
spiritsgift;1480
spiritsstrength;1736
weaponofrenewal;2149
wieldersremedy;1740
wielderszeal;1737
theresnothingtofear;2112
cauterysignet;1588
remedysignet;1777
signetofaggression;1776
spearoffury;1957
braceyourself;1572
canttouchthis;1780
fallback;1595
findtheirweakness;1781
gofortheeyes;1558
helpme;1594
incoming;1596
makehaste;1591
nevergiveup;1593
neversurrender;1598
standyourground;1589
weshallreturn;1592
anthemofdisruption;2018
anthemofenvy;1559
anthemofguidance;1568
anthemofweariness;2017
bladeturnrefrain;1580
cripplinganthem;1554
godspeed;1556
songofconcentration;1567
itsjustafleshwound;1599
thepowerisyours;1782
ariaofrestoration;1566
ariaofzeal;1562
balladofrestoration;1564
chorusofrestoration;1565
energizingchorus;1569
energizingfinale;1775
finaleofrestoration;1577
inspirationalspeech;2207
leaderszeal;1583
lyricofpurification;1772
lyricofzeal;1563
mendingrefrain;1578
purifyingfinale;1579
signetofsynergy;1585
songofpower;1560
songofpurification;1570
songofrestoration;1771
zealousanthem;1561
barbedspear;1600
blazingspear;1546
chestthumper;2074
cruelspear;1548
disruptingthrow;1604
harrierstoss;1549
holyspear;2209
maimingspear;2150
mercilessspear;1603
mightythrow;1547
slayersspear;1783
spearoflightning;1551
spearofredemption;2238
stunningstrike;1602
swiftjavelin;1784
unblockablethrow;1550
viciousattack;1601
wearyingspear;1552
wildthrow;1605
leadtheway;1590
makeyourtime;1779
theyreonfire;1597
aggressiverefrain;1774
angelicbond;1587
angelicprotection;1586
anthemofflame;1557
anthemoffury;1553
awe;1573
blazingfinale;1575
burningrefrain;1576
burningshield;2208
defensiveanthem;1555
enduringharmony;1574
focusedanger;1769
glowingsignet;1581
hastyrefrain;2075
hexbreakeraria;1571
leaderscomfort;1584
naturaltemper;1770
signetofreturn;1778
soldiersfury;1773
spearswipe;2210
auraofholymight;2098
enchantedhaste;1541
eternalaura;2109
armorofsanctity;1515
auraofthorns;1495
conviction;1540
dustcloak;1497
ebondustaura;1760
fleetingstability;1514
miragecloak;1500
mysticregeneration;1516
mysticsandstorm;1532
piousconcentration;1542
sandshards;1510
shieldofforce;2201
signetofpiouslight;1530
staggeringforce;1498
veilofthorns;1757
vitalboon;1506
vowofstrength;1759
chillingvictory;1539
cripplingsweep;1535
cripplingvictory;2147
eremitesattack;1485
farmersscythe;2015
irresistiblesweep;1489
lyssasassault;1538
piousassault;1490
radiantscythe;2012
